CardTypeId,DisplayName,Tier,MinHealth,MaxHealth,MinAttack,MaxAttack,InitialKeyword,AttackFrameAnimationKey,AttackAudioKeys,AttackAudioDelays,AttackAudioVolumes,HitDelays
// Unique card type identifier,Display name shown on cards,Default card tier copied into runtime instances,Minimum generated health inclusive or blank for runtime-composed cards,Maximum generated health inclusive or blank for runtime-composed cards,Minimum generated attack inclusive or blank for runtime-composed cards,Maximum generated attack inclusive or blank for runtime-composed cards,Initial battle keyword or blank for runtime-composed cards,Attack frame animation resource key,Semicolon-separated attack sound resource keys,Semicolon-separated seconds before each attack sound,Semicolon-separated volume values from zero through one,Semicolon-separated seconds before each red hit flash
// Associated: BattleCardCsvData
1,哥布林战士,Bronze,5,7,2,4,Taunt,BattleAttackSwordSlash,knifeSlice2,0.12,0.75,0.18
2,哥布林弓手,Bronze,3,5,3,5,LongShot,BattleAttackArrowImpact,impactWood_light_002,0.18,0.75,0.18
3,哥布林投弹手,Bronze,2,4,4,6,Blast,BattleAttackSmallExplosion,explosionCrunch_001,0.1,0.75,0.12
4,野猪,Bronze,4,6,3,5,Charge,BattleAttackSmallImpact,impactPunch_medium_002,0.08,0.75,0.12
5,食人魔,Bronze,6,8,5,7,None,BattleAttackLargeImpact,impactPunch_heavy_002,0.12,0.75,0.15
99,融合封印,Bronze,,,,,,,,,,
100,武士,Silver,,,,,,BattleAttackFusion_100,knifeSlice2;knifeSlice2,0.12;0.30,0.70;0.62,0.12;0.30
101,前线游侠,Silver,,,,,,BattleAttackFusion_101,impactWood_light_002,0.18,0.72,0.18
102,爆破卫士,Silver,,,,,,BattleAttackFusion_102,impactPunch_medium_002;explosionCrunch_001,0.12;0.30,0.62;0.76,0.12;0.30
103,野猪骑士,Silver,,,,,,BattleAttackFusion_103,knifeSlice2;impactPunch_medium_002,0.12;0.32,0.62;0.74,0.12;0.32
104,巨魔战士,Silver,,,,,,BattleAttackFusion_104,knifeSlice2;impactPunch_heavy_002,0.12;0.32,0.66;0.78,0.12;0.32
105,神射手,Silver,,,,,,BattleAttackFusion_105,impactWood_light_002,0.18,0.76,0.18
106,爆裂箭射手,Silver,,,,,,BattleAttackFusion_106,impactWood_light_002;explosionCrunch_001,0.12;0.28,0.58;0.76,0.12;0.28
107,猎猪游骑,Silver,,,,,,BattleAttackFusion_107,impactWood_light_002;impactPunch_medium_002,0.12;0.32,0.64;0.72,0.12;0.32
108,巨弓射手（巨魔）,Silver,,,,,,BattleAttackFusion_108,impactWood_light_002;impactPunch_heavy_002,0.10;0.20,0.62;0.74,0.20
109,连环爆破手,Silver,,,,,,BattleAttackFusion_109,explosionCrunch_001;explosionCrunch_001;explosionCrunch_001,0.08;0.24;0.40,0.70;0.66;0.62,0.08;0.24;0.40
110,炸弹野猪,Silver,,,,,,BattleAttackFusion_110,explosionCrunch_001;impactPunch_medium_002,0.12;0.34,0.72;0.72,0.12;0.34
111,巨爆投手,Silver,,,,,,BattleAttackFusion_111,explosionCrunch_001;impactPunch_heavy_002,0.10;0.20,0.72;0.78,0.20
112,狂暴猪群,Silver,,,,,,BattleAttackFusion_112,impactPunch_medium_002;impactPunch_medium_002,0.12;0.34,0.72;0.66,0.12;0.34
113,贪婪巨魔,Silver,,,,,,BattleAttackFusion_113,impactPunch_heavy_002,0.18,0.80,0.18
114,双头巨魔,Silver,,,,,,BattleAttackFusion_114,impactPunch_heavy_002,0.18,0.82,0.18
115,铁壁战团,Gold,,,,,,BattleAttackFusion_115,knifeSlice2;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.70;0.66;0.62,0.08;0.24;0.40
116,箭盾先锋,Gold,,,,,,BattleAttackFusion_116,impactWood_light_002;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.68;0.64;0.60,0.08;0.24;0.40
117,火药先锋,Gold,,,,,,BattleAttackFusion_117,explosionCrunch_001;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.72;0.64;0.60,0.08;0.24;0.40
118,重甲野猪骑,Gold,,,,,,BattleAttackFusion_118,knifeSlice2;knifeSlice2;impactPunch_medium_002,0.08;0.24;0.40,0.66;0.62;0.72,0.08;0.24;0.40
119,巨魔军团长,Gold,,,,,,BattleAttackFusion_119,knifeSlice2;knifeSlice2;impactPunch_heavy_002,0.08;0.24;0.40,0.64;0.62;0.78,0.08;0.24;0.40
120,劲弩手,Gold,,,,,,BattleAttackFusion_120,impactWood_light_002;impactPunch_heavy_002,0.10;0.20,0.66;0.72,0.20
121,火矢战团,Gold,,,,,,BattleAttackFusion_121,impactWood_light_002;explosionCrunch_001;knifeSlice2,0.08;0.24;0.40,0.64;0.72;0.64,0.08;0.24;0.40
122,疾驰弓骑,Gold,,,,,,BattleAttackFusion_122,impactWood_light_002;impactPunch_medium_002,0.12;0.34,0.66;0.72,0.12;0.34
123,巨弓统领,Gold,,,,,,BattleAttackFusion_123,impactWood_light_002;impactPunch_heavy_002,0.10;0.22,0.66;0.78,0.22
124,掠阵先锋,Gold,,,,,,BattleAttackFusion_124,knifeSlice2;explosionCrunch_001,0.12;0.32,0.64;0.74,0.12;0.32
125,轰雷猪骑,Gold,,,,,,BattleAttackFusion_125,explosionCrunch_001;impactPunch_medium_002,0.12;0.34,0.72;0.72,0.12;0.34
126,巨魔攻城手,Gold,,,,,,BattleAttackFusion_126,explosionCrunch_001;impactPunch_heavy_002,0.10;0.22,0.72;0.78,0.22
127,野猪骑兵团,Gold,,,,,,BattleAttackFusion_127,knifeSlice2;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.62;0.70;0.66,0.08;0.24;0.40
128,十夫长,Gold,,,,,,BattleAttackFusion_128,knifeSlice2;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.62;0.68;0.78,0.08;0.24;0.40
129,军阀,Gold,,,,,,BattleAttackFusion_129,knifeSlice2;knifeSlice2;impactPunch_heavy_002,0.08;0.24;0.40,0.64;0.62;0.80,0.08;0.24;0.40
130,火枪手,Gold,,,,,,BattleAttackFusion_130,explosionCrunch_001;impactWood_light_002,0.10;0.20,0.56;0.72,0.20
131,火箭兵,Gold,,,,,,BattleAttackFusion_131,explosionCrunch_001;impactPunch_heavy_002,0.10;0.22,0.68;0.74,0.22
132,野猪猎手,Gold,,,,,,BattleAttackFusion_132,impactWood_light_002;impactPunch_medium_002,0.12;0.34,0.66;0.72,0.12;0.34
133,巨弓齐射者,Gold,,,,,,BattleAttackFusion_133,impactWood_light_002;impactWood_light_002,0.14;0.34,0.70;0.64,0.14;0.34
134,饱和轰炸手,Gold,,,,,,BattleAttackFusion_134,explosionCrunch_001;explosionCrunch_001;explosionCrunch_001,0.08;0.24;0.40,0.70;0.66;0.62,0.08;0.24;0.40
135,爆破猎骑,Gold,,,,,,BattleAttackFusion_135,explosionCrunch_001;impactPunch_medium_002,0.12;0.34,0.70;0.72,0.12;0.34
136,巨魔炮兵,Gold,,,,,,BattleAttackFusion_136,explosionCrunch_001;impactPunch_heavy_002,0.10;0.22,0.72;0.80,0.22
137,野猪游骑队,Gold,,,,,,BattleAttackFusion_137,impactWood_light_002;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.66;0.70;0.66,0.08;0.24;0.40
138,巨魔猎猪人,Gold,,,,,,BattleAttackFusion_138,impactWood_light_002;impactPunch_medium_002;impactPunch_heavy_002,0.08;0.24;0.40,0.64;0.68;0.78,0.08;0.24;0.40
139,双巨魔神射手,Gold,,,,,,BattleAttackFusion_139,impactWood_light_002;impactPunch_heavy_002,0.10;0.22,0.66;0.80,0.22
140,炼狱投弹团,Gold,,,,,,BattleAttackFusion_140,explosionCrunch_001;explosionCrunch_001;explosionCrunch_001,0.08;0.24;0.40,0.72;0.68;0.64,0.08;0.24;0.40
141,炸弹猪群,Gold,,,,,,BattleAttackFusion_141,explosionCrunch_001;explosionCrunch_001;impactPunch_medium_002,0.08;0.24;0.40,0.70;0.66;0.72,0.08;0.24;0.40
142,巨魔爆破王,Gold,,,,,,BattleAttackFusion_142,explosionCrunch_001;explosionCrunch_001;impactPunch_heavy_002,0.08;0.24;0.40,0.72;0.68;0.78,0.08;0.24;0.40
143,烈焰野猪群,Gold,,,,,,BattleAttackFusion_143,explosionCrunch_001;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.70;0.70;0.66,0.08;0.24;0.40
144,贪食轰炸骑,Gold,,,,,,BattleAttackFusion_144,impactPunch_heavy_002;explosionCrunch_001;impactPunch_medium_002,0.08;0.24;0.40,0.74;0.70;0.68,0.08;0.24;0.40
145,双巨魔炮手,Gold,,,,,,BattleAttackFusion_145,explosionCrunch_001;impactPunch_heavy_002,0.10;0.22,0.72;0.82,0.22
146,野猪王,Gold,,,,,,BattleAttackFusion_146,impactPunch_medium_002;impactPunch_heavy_002,0.10;0.20,0.70;0.82,0.20
147,野猪驱使者,Gold,,,,,,BattleAttackFusion_147,impactPunch_medium_002;impactPunch_medium_002,0.12;0.34,0.74;0.68,0.12;0.34
148,野猪王骑兵,Gold,,,,,,BattleAttackFusion_148,knifeSlice2;impactPunch_medium_002,0.12;0.34,0.64;0.76,0.12;0.34
149,传奇·战战战战,Legendary,,,,,,BattleAttackFusion_115,knifeSlice2;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.70;0.66;0.62,0.08;0.24;0.40
150,传奇·战战战弓,Legendary,,,,,,BattleAttackFusion_115,knifeSlice2;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.70;0.66;0.62,0.08;0.24;0.40
151,传奇·战战战爆,Legendary,,,,,,BattleAttackFusion_115,knifeSlice2;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.70;0.66;0.62,0.08;0.24;0.40
152,传奇·战战战猪,Legendary,,,,,,BattleAttackFusion_115,knifeSlice2;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.70;0.66;0.62,0.08;0.24;0.40
153,传奇·战战战魔,Legendary,,,,,,BattleAttackFusion_115,knifeSlice2;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.70;0.66;0.62,0.08;0.24;0.40
154,传奇·战战弓弓,Legendary,,,,,,BattleAttackFusion_116,impactWood_light_002;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.68;0.64;0.60,0.08;0.24;0.40
155,传奇·战战弓爆,Legendary,,,,,,BattleAttackFusion_116,impactWood_light_002;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.68;0.64;0.60,0.08;0.24;0.40
156,传奇·战战弓猪,Legendary,,,,,,BattleAttackFusion_116,impactWood_light_002;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.68;0.64;0.60,0.08;0.24;0.40
157,传奇·战战弓魔,Legendary,,,,,,BattleAttackFusion_116,impactWood_light_002;knifeSlice2;knifeSlice2,0.08;0.24;0.40,0.68;0.64;0.60,0.08;0.24;0.40
158,传奇·战战爆爆,Legendary,,,,,,BattleAttackFusion_117,explosionCrunch_001;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.72;0.64;0.60,0.08;0.24;0.40
159,传奇·战战爆猪,Legendary,,,,,,BattleAttackFusion_117,explosionCrunch_001;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.72;0.64;0.60,0.08;0.24;0.40
160,传奇·战战爆魔,Legendary,,,,,,BattleAttackFusion_117,explosionCrunch_001;impactPunch_medium_002;impactPunch_medium_002,0.08;0.24;0.40,0.72;0.64;0.60,0.08;0.24;0.40
161,传奇·战战猪猪,Legendary,,,,,,BattleAttackFusion_118,knifeSlice2;knifeSlice2;impactPunch_medium_002,0.08;0.24;0.40,0.66;0.62;0.72,0.08;0.24;0.40
162,传奇·战战猪魔,Legendary,,,,,,BattleAttackFusion_118,knifeSlice2;knifeSlice2;impactPunch_medium_002,0.08;0.24;0.40,0.66;0.62;0.72,0.08;0.24;0.40
163,传奇·战战魔魔,Legendary,,,,,,BattleAttackFusion_119,knifeSlice2;knifeSlice2;impactPunch_heavy_002,0.08;0.24;0.40,0.64;0.62;0.78,0.08;0.24;0.40
164,传奇·战弓弓弓,Legendary,,,,,,BattleAttackFusion_120,impactWood_light_002;impactPunch_heavy_002,0.10;0.20,0.66;0.72,0.20
165,传奇·战弓弓爆,Legendary,,,,,,BattleAttackFusion_120,impactWood_light_002;impactPunch_heavy_002,0.10;0.20,0.66;0.72,0.20
166,传奇·战弓弓猪,Legendary,,,,,,BattleAttackFusion_120,impactWood_light_002;impactPunch_heavy_002,0.10;0.20,0.66;0.72,0.20
167,传奇·战弓弓魔,Legendary,,,,,,BattleAttackFusion_120,impactWood_light_002;impactPunch_heavy_002,0.10;0.20,0.66;0.72,0.20
168,传奇·战弓爆爆,Legendary,,,,,,BattleAttackFusion_121,impactWood_light_002;explosionCrunch_001;knifeSlice2,0.08;0.24;0.40,0.64;0.72;0.64,0.08;0.24;0.40
169,传奇·战弓爆猪,Legendary,,,,,,BattleAttackFusion_121,impactWood_light_002;explosionCrunch_001;knifeSlice2,0.08;0.24;0.40,0.64;0.72;0.64,0.08;0.24;0.40
